Campaña;Estado de la campaña;Tipo de campaña;Clics;Impr.;CTR;Código de moneda;CPC medio;Coste;Conversiones;Conv. post-impresión;Coste/conv.;Tasa de conv.
16_SEARCH_NB_VENTAS_EXACT_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_NB_VENTAS_PHRASE_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
2_SEM_Bachillerato_Online_Colombia_ExcluyendoBogota;Habilitada;Buscar;2.613;28.108;9,30%;COP;899,54;2350502,88;582,75;0;4033,49;22,30%
2_SEM_Bachillerato_Online_Colombia_ExcluyendoBogota y Antioquia #2;Habilitada;Buscar;271;2.773;9,77%;COP;766,78;207796,29;48;0;4329,09;17,71%
Bachillerato 2018 #2;En pausa;Buscar;0;0;0;COP;0;0;0;0;0;0
Bachillerato Bogotá Presencial;En pausa;Inteligente;0;0;0;COP;0;0;0;0;0;0
Bachillerato Bogotá YouTube;En pausa;Vídeo;0;0;0;COP;0;0;0;0;0;0
bachillerato online_barranquilla;En pausa;Buscar;0;0;0;COP;0;0;0;0;0;0
bachillerato online_cali;En pausa;Buscar;0;0;0;COP;0;0;0;0;0;0
bachillerato online_cartagena;En pausa;Buscar;0;0;0;COP;0;0;0;0;0;0
bachillerato online_medellín;En pausa;Buscar;0;0;0;COP;0;0;0;0;0;0
Bachillerato Virtual 2018 - Afuera #2;En pausa;Buscar;0;0;0;COP;0;0;0;0;0;0
Bachillerato Virtual 2018 - Bogotá #2;En pausa;Buscar;0;0;0;COP;0;0;0;0;0;0
Bachillerato Virtual YouTube;En pausa;Vídeo;0;0;0;COP;0;0;0;0;0;0
Bachillerato Virtual_Cali;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
Bachillerato Virtual_Cali #2;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
Bachillerato Virtual_Medellin;En pausa;Buscar;0;0;0;COP;0;0;0;0;0;0
Bachillerato_online_cali;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
Bogotá localidades Performace;En pausa;Rendimiento máximo;0;0;0;COP;0;0;0;0;0;0
DIC--ENE2016;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
DIC--ENE2016-Display;Retirada;Display;0;0;0;COP;0;0;0;0;0;0
display_virtual temporada;En pausa;Display;0;0;0;COP;0;0;0;0;0;0
Enero Bachillerato 2018;En pausa;Buscar;0;0;0;COP;0;0;0;0;0;0
Enero Bachillerato Virtual 2018;En pausa;Buscar;0;0;0;COP;0;0;0;0;0;0
Enero Preicfes 2018;En pausa;Buscar;0;0;0;COP;0;0;0;0;0;0
Febrero Bachillerato 2018;En pausa;Buscar;0;0;0;COP;0;0;0;0;0;0
Febrero Bachillerato Virtual 2018;En pausa;Buscar;0;0;0;COP;0;0;0;0;0;0
Febrero Inglés 2018;En pausa;Buscar;0;0;0;COP;0;0;0;0;0;0
Febrero Preicfes 2018;En pausa;Buscar;0;0;0;COP;0;0;0;0;0;0
FV_Remarketing;Retirada;Display;0;0;0;COP;0;0;0;0;0;0
GDN_Bachillerato_OnLine_Bogota_Feb2021_RMKT;En pausa;Display;0;0;0;COP;0;0;0;0;0;0
GDN_Bachillerato_OnLine_Colombia;En pausa;Display;0;0;0;COP;0;0;0;0;0;0
