Campaña,Estado de la campaña,Tipo de campaña,Clics,Impr.,CTR,Código de moneda,CPC medio,Coste,Conversiones,Conv. post-impresión,Coste/conv.,Tasa de conv.
Bachillerato Virtual YouTube,En pausa,Vídeo,0.0,0.0,0,COP,0,0,0,0,0,0
Bachillerato Virtual_Cali,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
Bachillerato Virtual_Cali #2,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
Bachillerato Virtual_Medellin,En pausa,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
Bachillerato_online_cali,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
Bogotá localidades Performace,En pausa,Rendimiento máximo,0.0,0.0,0,COP,0,0,0,0,0,0
DIC--ENE2016,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
DIC--ENE2016-Display,Retirada,Display,0.0,0.0,0,COP,0,0,0,0,0,0
display_virtual temporada,En pausa,Display,0.0,0.0,0,COP,0,0,0,0,0,0
Enero Bachillerato 2018,En pausa,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
Enero Bachillerato Virtual 2018,En pausa,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
Enero Preicfes 2018,En pausa,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
Febrero Bachillerato 2018,En pausa,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
Febrero Bachillerato Virtual 2018,En pausa,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
Febrero Inglés 2018,En pausa,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
Febrero Preicfes 2018,En pausa,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
FV_Remarketing,Retirada,Display,0.0,0.0,0,COP,0,0,0,0,0,0
GDN_Bachillerato_OnLine_Bogota_Feb2021_RMKT,En pausa,Display,0.0,0.0,0,COP,0,0,0,0,0,0
GDN_Bachillerato_OnLine_Colombia,En pausa,Display,0.0,0.0,0,COP,0,0,0,0,0,0
GDN_Bachillerato_OnLine_Colombia_Aniversario_13años,En pausa,Display,0.0,0.0,0,COP,0,0,0,0,0,0
GDN_Bachillerato_OnLine_Colombia_APP,En pausa,Display,0.0,0.0,0,COP,0,0,0,0,0,0
GDN_Bachillerato_OnLine_Colombia_ATuRitmo,En pausa,Display,0.0,0.0,0,COP,0,0,0,0,0,0
GDN_Bachillerato_OnLine_Colombia_Feb2021_RMKT,En pausa,Display,0.0,0.0,0,COP,0,0,0,0,0,0
GDN_Bachillerato_OnLine_Colombia_JUL2021,En pausa,Display,0.0,0.0,0,COP,0,0,0,0,0,0
GDN_Bachillerato_OnLine_Colombia_Mar2021_RMKT,En pausa,Display,0.0,0.0,0,COP,0,0,0,0,0,0
GDN_Bachillerato_OnLine_Colombia1_RMKT,En pausa,Display,0.0,0.0,0,COP,0,0,0,0,0,0
GDN_Bachillerato_OnLine_PC_Colombia_JUL2021,En pausa,Display,0.0,0.0,0,COP,0,0,0,0,0,0
GDN_Bachillerato_Presencial_Categoria_Bogota,En pausa,Display,0.0,0.0,0,COP,0,0,0,0,0,0
GDN_Bto_Temp_23_24,En pausa,Display,0.0,0.0,0,COP,0,0,0,0,0,0
GDN_HiBogota_Licitación,En pausa,Display,0.0,0.0,0,COP,0,0,0,0,0,0
GDN_Maestria_EduTech_OnLine_Colombia,En pausa,Display,0.0,0.0,0,COP,0,0,0,0,0,0
Inglés 2018_Mayo,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
Ingles Display Abril 2018,En pausa,Display,0.0,0.0,0,COP,0,0,0,0,0,0
Inglés Intensivo 2018,Retirada,Vídeo,0.0,0.0,0,COP,0,0,0,0,0,0
Inglés Intereses,En pausa,Display,0.0,0.0,0,COP,0,0,0,0,0,0
Inglés YouTube,Retirada,Vídeo,0.0,0.0,0,COP,0,0,0,0,0,0
Inglés YouTube Video,En pausa,Vídeo,0.0,0.0,0,COP,0,0,0,0,0,0
Kuepa Chile_Estudios Medios,En pausa,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
LV_Bachillerato_OnLine_Bogota,Retirada,Local,0.0,0.0,0,COP,0,0,0,0,0,0
LV_Bachillerato_OnLine_Calle_72,En pausa,Inteligente,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Competencia - Broad,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Competencia - Broad,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Competencia - Exact,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Competencia - Exact,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Competencia - Phrase,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Competencia - Phrase,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Curso de Ingles_BMM,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Curso de Ingles_BMM,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Curso de Ingles_BRO,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Curso de Ingles_BRO,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Curso de Ingles_EXA,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Curso de Ingles_EXA,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Curso de Ingles_PHR,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Curso de Ingles_PHR,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Bachiller Online - Broad,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Bachiller Online - Broad,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Bachiller Online - Broad,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Bachiller Online - Exact,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Bachiller Online - Exact,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Bachiller Online - Exact,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Bachiller Online - Phrase,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Bachiller Online - Phrase,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Bachiller Online - Phrase,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Curso Online - Broad,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Curso Online - Broad,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Curso Online - Broad,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Curso Online - Exact,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Curso Online - Exact,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Curso Online - Exact,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Curso Online - Phrase,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Curso Online - Phrase,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Curso Online - Phrase,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Secundario Online - Broad,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Secundario Online - Broad,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Secundario Online - Broad,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Secundario Online - Exact,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Secundario Online - Exact,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Secundario Online - Exact,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Secundario Online - Phrase,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Secundario Online - Phrase,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Secundario Online - Phrase,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Simulacro Online - Broad,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Simulacro Online - Broad,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Simulacro Online - Broad,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Simulacro Online - Exact,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Simulacro Online - Exact,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Simulacro Online - Exact,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Simulacro Online - Phrase,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Simulacro Online - Phrase,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Gen / Simulacro Online - Phrase,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachiller - BMM,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachiller - BMM,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachiller - BMM,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachiller - BMM,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachiller - BMM,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachiller - BRO,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachiller - BRO,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachiller - BRO,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachiller - BRO,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachiller - BRO,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachiller - EXA,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachiller - EXA,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachiller - EXA,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachiller - EXA,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachiller - EXA,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachiller - PHR,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachiller - PHR,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachiller - PHR,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachiller - PHR,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachiller - PHR,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachillerato - BMM,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachillerato - BMM,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachillerato - BMM,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachillerato - BMM,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachillerato - BMM,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachillerato - BRO,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachillerato - BRO,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachillerato - BRO,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachillerato - BRO,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachillerato - BRO,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachillerato - EXA,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachillerato - EXA,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachillerato - EXA,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachillerato - EXA,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachillerato - EXA,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachillerato - PHR,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachillerato - PHR,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachillerato - PHR,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachillerato - PHR,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Bachillerato - PHR,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Nombres de Colegios,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Nombres de Colegios,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Nombres de Colegios,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Nombres de Colegios,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Nombres de Colegios,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Secundario - BMM,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Secundario - BMM,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Secundario - BMM,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Secundario - BMM,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Secundario - BMM,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Secundario - BRO,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Secundario - BRO,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Secundario - BRO,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Secundario - BRO,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Secundario - BRO,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Secundario - EXA,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Secundario - EXA,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Secundario - EXA,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Secundario - EXA,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Secundario - EXA,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Secundario - PHR,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Secundario - PHR,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Secundario - PHR,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Secundario - PHR,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_GeoFon - Secundario - PHR,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_MEX_Ceneval - Broad,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_MEX_Ceneval - Broad,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_MEX_Ceneval - Exact,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_MEX_Ceneval - Exact,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_MEX_Ceneval - Phrase,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_MEX_Ceneval - Phrase,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes - Broad,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes - Broad,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes - Broad,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes - Broad,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes - Broad,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes - Exact,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes - Exact,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes - Exact,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes - Exact,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes - Exact,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes - Phrase,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes - Phrase,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes - Phrase,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes - Phrase,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes - Phrase,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes Saber 11 - Broad,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes Saber 11 - Broad,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes Saber 11 - Broad,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes Saber 11 - Broad,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes Saber 11 - Broad,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes Saber 11 - Exact,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes Saber 11 - Exact,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes Saber 11 - Exact,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes Saber 11 - Exact,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes Saber 11 - Exact,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes Saber 11 - Phrase,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes Saber 11 - Phrase,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes Saber 11 - Phrase,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes Saber 11 - Phrase,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes Saber 11 - Phrase,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes Validación- Broad,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes Validación- Broad,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes Validación- Broad,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes Validación- Broad,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes Validación- Broad,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes Validación- Exact,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes Validación- Exact,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes Validación- Exact,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes Validación- Exact,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes Validación- Exact,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes Validación- Phrase,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
MP_Preicfes Validación- Phrase,Retirada,Buscar,0.0,0.0,0,COP,0,0,0,0,0,0
